"BnaA01g00520D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaA06g09750D"	"Peptidase S10, serine carboxypeptidase, Peptidase S10, serine carboxypeptidase, active site"
"BnaA06g10000D"	"DOG1 domain"
"BnaA06g10010D"	"Cystathionine beta-synthase, core"
"BnaA06g10040D"	"AP2/ERF domain, DNA-binding, integrase-type"
"BnaA06g10170D"	NA
"BnaA06g10180D"	"WD40 repeat, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, WD40 repeat, conserved site"
"BnaA06g10340D"	"Pyrophosphate-energised proton pump"
"BnaA06g10390D"	"Sterile alpha motif domain, Sterile alpha motif, type 2, Sterile alpha motif/pointed domain"
"BnaA06g10420D"	"Coactivator CBP, KIX domain"
"BnaA06g10440D"	"Coactivator CBP, KIX domain"
"BnaA06g10700D"	NA
"BnaA06g10990D"	"Cation/H+ exchanger"
"BnaA06g11220D"	"4Fe-4S binding domain, NADH-quinone oxidoreductase, chain I, Fumarate reductase, C-terminal, 4Fe-4S ferredoxin-type, iron-sulpur binding domain, 4Fe-4S ferredoxin, iron-sulphur binding, conserved site"
"BnaA06g11240D"	"Galactose-binding domain-like, NADH:ubiquinone oxidoreductase intermediate-associated protein 30, NAD(P)-binding domain"
"BnaA06g11260D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, UspA, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Concanavalin A-like lectin/glucanase, subgroup, Rossmann-like alpha/beta/alpha sandwich fold, Tyrosine-protein kinase, catalytic domain"
"BnaA06g11280D"	"Protein of unknown function DUF1754, eukaryotic"
"BnaA06g11370D"	"GPI mannosyltransferase"
"BnaA06g11620D"	"HD/PDEase domain, HD domain"
"BnaA06g11630D"	"Synaptojanin, N-terminal"
"BnaA06g11670D"	NA
"BnaA06g11780D"	NA
"BnaA06g11800D"	"SANT/Myb domain, Histone H1/H5, Homeodomain-like, Winged helix-turn-helix transcription repressor DNA-binding domain, Myb domain"
"BnaA06g11880D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait"
"BnaA06g12450D"	"NUDIX hydrolase domain, NUDIX hydrolase domain-like, NUDIX hydrolase, conserved site"
"BnaA06g12900D"	"Transcription factor, MADS-box"
"BnaA06g12970D"	NA
"BnaA06g12980D"	"Nucleosome assembly protein (NAP)"
"BnaA06g13120D"	NA
"BnaA06g13610D"	"DNA methylase, N-6 adenine-specific, conserved site, MT-A70-like"
"BnaA06g13640D"	"WD40-repeat-containing domain"
"BnaA06g14090D"	"B3 DNA binding domain, DNA-binding pseudobarrel domain"
"BnaA06g14210D"	"Zinc finger, TFIIS-type"
"BnaA06g14280D"	"Protein of unknown function DUF677"
"BnaA06g14320D"	"Pentatricopeptide repeat"
"BnaA06g14500D"	"Cyclin, C-terminal domain, Cyclin, N-terminal, Cyclin-like, Cyclin A/B/D/E"
"BnaA06g14670D"	NA
"BnaA06g14750D"	NA
"BnaA06g14920D"	"Cupredoxin"
"BnaA06g14930D"	"O-methyltransferase, family 2, Winged helix-turn-helix transcription repressor DNA-binding domain"
"BnaA06g14980D"	"Ribonucleoprotein LSM domain, Ribonucleoprotein LSM domain, eukaryotic/archaea-type, Like-Sm (LSM) domain"
"BnaA06g15040D"	NA
"BnaA06g15170D"	"Transcription factor GRAS"
"BnaA06g15290D"	NA
"BnaA06g16080D"	"Pentatricopeptide repeat, Tetratricopeptide-like helical"
"BnaA06g16210D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, U box domain, Protein kinase-like domain, Zinc finger, RING/FYVE/PHD-type, Rossmann-like alpha/beta/alpha sandwich fold, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA06g16490D"	NA
"BnaA06g16610D"	"Cysteine peptidase, cysteine active site, Peptidase C1A, papain C-terminal, Peptidase C1A, papain, Cysteine peptidase, histidine active site, Cysteine peptidase, asparagine active site"
"BnaA06g16630D"	"Peptidase C1A, papain, Proteinase inhibitor I29, cathepsin propeptide"
"BnaA06g16650D"	"Cysteine peptidase, cysteine active site, Peptidase C1A, papain C-terminal, Peptidase C1A, papain, Proteinase inhibitor I29, cathepsin propeptide, Cysteine peptidase, histidine active site, Cysteine peptidase, asparagine active site"
"BnaA06g16690D"	NA
"BnaA06g17090D"	NA
"BnaA06g17100D"	"C2 calcium-dependent membrane targeting, Phosphoinositide phospholipase C, C2 calcium/lipid-binding domain, CaLB, C2 membrane targeting protein"
"BnaA06g17230D"	"Pectinesterase inhibitor"
"BnaA06g17310D"	NA
"BnaA06g17350D"	"Chlorophyll A-B binding protein, plant, Chlorophyll A-B binding protein, Chlorophyll a/b binding protein domain"
"BnaA06g17370D"	NA
"BnaA06g17770D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Tyrosine-protein kinase, catalytic domain"
"BnaA06g17950D"	"SANT/Myb domain, Myb domain, plants, Homeodomain-like, Myb domain"
"BnaA06g18050D"	NA
"BnaA06g18180D"	"Protein phosphatase 2C (PP2C)-like"
"BnaA06g18410D"	"HAD-superfamily hydrolase, subfamily IIA, CECR5, HAD-superfamily hydrolase, subfamily IIA, HAD-like domain"
"BnaA06g18440D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Mitogen-activated protein (MAP) kinase, conserved site, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA06g18490D"	"Nucleic acid-binding, OB-fold, Replication factor A, C-terminal"
"BnaA06g18510D"	"Protein kinase, catalytic domain, Protein kinase-like domain"
"BnaA06g18550D"	"Homeodomain, START domain, Homeodomain-like, MEKHLA, START-like domain"
"BnaA06g18640D"	"Nucleic acid-binding, OB-fold"
"BnaA06g18890D"	"HAD-superfamily hydrolase, subfamily IA, variant 3, HAD-like domain"
"BnaA06g18900D"	"Lipase, GDSL, SGNH hydrolase-type esterase domain"
"BnaA06g19020D"	"Homeodomain-like, DEK, C-terminal"
"BnaA06g19200D"	"Signal recognition particle, SRP9 subunit, Signal recognition particle, SRP9/SRP14 subunit"
"BnaA06g19500D"	NA
"BnaA06g19560D"	NA
"BnaA06g19810D"	"Prephenate dehydratase, Prephenate dehydratase, conserved site"
"BnaA06g19910D"	"Peptidase A1, Aspartic peptidase"
"BnaA06g20020D"	NA
"BnaA06g20080D"	"Auxin responsive SAUR protein"
"BnaA06g20390D"	"Zinc finger, FYVE-type, Regulator of chromosome condensation, RCC1, Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II, Zinc finger, FYVE/PHD-type, Pleckstrin homology-like domain, Zinc finger, RING/FYVE/PHD-type, Brevis radix-like domain, Zinc finger, FYVE-related"
"BnaA06g20430D"	NA
"BnaA06g20450D"	"Isopenicillin N synthase, Oxoglutarate/iron-dependent dioxygenase, Non-haem dioxygenase N-terminal domain"
"BnaA06g20500D"	"UDP-glucuronosyl/UDP-glucosyltransferase"
"BnaA06g20630D"	"Heat shock protein DnaJ, cysteine-rich domain"
"BnaA06g20640D"	"Zinc finger, FYVE-type, Regulator of chromosome condensation, RCC1, Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II, Zinc finger, FYVE/PHD-type, Pleckstrin homology-like domain, Zinc finger, RING/FYVE/PHD-type, Zinc finger, FYVE-related"
"BnaA06g20750D"	"Aldehyde dehydrogenase domain, Aldehyde dehydrogenase, conserved site, Aldehyde/histidinol dehydrogenase, Aldehyde dehydrogenase, N-terminal, Aldehyde dehydrogenase, C-terminal"
"BnaA06g21030D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait"
"BnaA06g21130D"	"Ubiquitin, Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2, Peptidase C19, ubiquitin-specific peptidase, DUSP domain, Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2, conserved site, Ubiquitin supergroup"
"BnaA06g21190D"	NA
"BnaA06g21280D"	"Brix domain"
"BnaA06g21300D"	"Calreticulin/calnexin, Concanavalin A-like lectin/glucanases superfamily, Calreticulin/calnexin, P domain, Concanavalin A-like lectin/glucanase, subgroup, Calreticulin/calnexin, conserved site"
"BnaA06g21390D"	"RNA recognition motif domain, RNA recognition motif 2, Nucleotide-binding, alpha-beta plait"
"BnaA06g21400D"	"Leucine-rich repeat-containing N-terminal, type 2"
"BnaA06g21430D"	"Arf GTPase activating protein, Pleckstrin homology domain, Ankyrin repeat, BAR domain, Pleckstrin homology-like domain, Ankyrin repeat-containing domain, Arfaptin homology (AH) domain/BAR domain"
"BnaA06g21560D"	"Ubiquitin, Kinesin, motor domain, Ubiquitin supergroup, Ubiquitin subgroup"
"BnaA06g21830D"	NA
"BnaA06g21910D"	"Ribosomal protein L22/L17, Ribosomal protein L22, bacterial/chloroplast-type"
"BnaA06g21940D"	"Calponin homology domain, EB1, C-terminal, Microtubule-associated protein RP/EB"
"BnaA06g22030D"	"Poly(ADP-ribose) polymerase, catalytic domain, RST domain of plant C-terminal"
"BnaA06g22260D"	"YLP motif-containing protein 1"
"BnaA06g22310D"	"Histidine phosphatase superfamily, clade-1"
"BnaA06g22330D"	"Small GTPase superfamily, Small GTPase superfamily, Rho type, Small GTPase superfamily, Rab type, Small GTP-binding protein domain, Small GTPase superfamily, Ras type"
"BnaA06g22480D"	"WD40 repeat, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, WD40 repeat, conserved site"
"BnaA06g22800D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA06g22890D"	"Zinc finger, RING-CH-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA06g23000D"	NA
"BnaA06g23070D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA06g23160D"	"Paired amphipathic helix"
"BnaA06g23170D"	"PMR5 N-terminal domain, PC-Esterase"
"BnaA06g23180D"	"Putative S-adenosyl-L-methionine-dependent methyltransferase"
"BnaA06g23240D"	"U2 auxiliary factor small subunit, Nucleotide-binding, alpha-beta plait"
"BnaA06g23730D"	"Uncharacterised conserved protein UCP009193"
"BnaA06g23830D"	NA
"BnaA06g23990D"	"Transcription factor, MADS-box, Transcription factor, K-box"
"BnaA06g24050D"	NA
"BnaA06g24320D"	"Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2, Zinc finger, MYND-type, Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2, conserved site"
"BnaA06g24390D"	NA
"BnaA06g24700D"	"Dehydrogenase, E1 component, Transketolase-like, pyrimidine-binding domain, 2-oxoglutarate dehydrogenase, E1 component"
"BnaA06g24740D"	NA
"BnaA06g24790D"	"Pentatricopeptide repeat, Tetratricopeptide-like helical"
"BnaA06g24940D"	"NADH dehydrogenase ubiquinone Fe-S protein 4, mitochondrial"
"BnaA06g25000D"	"Adenylylsulphate kinase"
"BnaA06g25390D"	"Peptidyl-prolyl cis-trans isomerase, PpiC-type, Peptidyl-prolyl cis-trans isomerase, PpiC-type, conserved site"
"BnaA06g25630D"	"Oxoglutarate/iron-dependent dioxygenase, Prolyl 4-hydroxylase, alpha subunit"
"BnaA06g25670D"	"Domain of unknown function DUF1990"
"BnaA06g25790D"	NA
"BnaA06g25900D"	"Homoserine kinase, GHMP kinase, ATP-binding, conserved site, GHMP kinase N-terminal domain, GHMP kinase, C-terminal domain, Ribosomal protein S5 domain 2-type fold, subgroup, Ribosomal protein S5 domain 2-type fold"
"BnaA06g26290D"	"Protein kinase, catalytic domain, DnaJ domain, Calcium-binding EF-hand, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, EF-hand-like domain, Nucleotide-binding, alpha-beta plait, Protein kinase, ATP binding site, EF-Hand 1, calcium-binding site, DnaJ domain, conserved site, Tyrosine-protein kinase, catalytic domain"
"BnaA06g26510D"	"Terpene synthase, N-terminal domain, Terpene synthase, metal-binding domain, Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid, Terpenoid synthase"
"BnaA06g26750D"	"Histidine kinase-like ATPase, ATP-binding domain"
"BnaA06g26790D"	"Histidine kinase-like ATPase, ATP-binding domain"
"BnaA06g26800D"	"Domain of unknown function DUF125, transmembrane"
"BnaA06g27080D"	NA
"BnaA06g27160D"	"NYN domain, limkain-b1-type, Limkain-b1"
"BnaA06g27440D"	"CID domain"
"BnaA06g27630D"	NA
"BnaA06g27710D"	"Protein of unknown function DUF642, Galactose-binding domain-like"
"BnaA06g27910D"	"Exostosin-like"
"BnaA06g28030D"	"Histone deacetylase superfamily, Histone deacetylase domain"
"BnaA06g28090D"	"EEIG1/EHBP1 N-terminal domain"
"BnaA06g28160D"	NA
"BnaA06g28320D"	"Domain of unknown function DUF4283, Zinc knuckle CX2CX4HX4C"
"BnaA06g28610D"	"Ribosomal protein S21e, Ribosomal protein S21e, conserved site"
"BnaA06g28650D"	"Cyclin, N-terminal, Cyclin-like, Cyclin C/H/T/L, CyclinH/Ccl1"
"BnaA06g28680D"	"AMP-dependent synthetase/ligase, AMP-binding, conserved site"
"BnaA06g28850D"	"Glutathione synthase, substrate-binding, eukaryotic, Glutathione synthase, eukaryotic, Glutathione synthase, alpha-helical, eukaryotic, Glutathione synthase, N-terminal, eukaryotic, Glutathione synthase domain"
"BnaA06g28900D"	"Frigida-like"
"BnaA06g29230D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Concanavalin A-like lectin/glucanase, subgroup, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain, Malectin-like carbohydrate-binding domain"
"BnaA06g29460D"	"Transmembrane protein 93"
"BnaA06g29740D"	"Protein arginine N-methyltransferase CARM1, Protein arginine N-methyltransferase"
"BnaA06g30020D"	"PUG domain, Ubiquitin-associated/translation elongation factor EF1B, N-terminal, eukaryote, PUB domain"
"BnaA06g30080D"	"Cyclin, N-terminal, Cyclin-like, Cyclin C/H/T/L, Cyclin C"
"BnaA06g30280D"	NA
"BnaA06g30420D"	"Glycoside hydrolase, family 28, Parallel beta-helix repeat, Pectin lyase fold"
"BnaA06g30440D"	"Zinc finger, PHD-type, Zinc finger, RING/FYVE/PHD-type, DNA (cytosine-5)-methyltransferase 1, replication foci domain"
"BnaA06g30450D"	"C2 calcium-dependent membrane targeting, Phosphoribosyltransferase C-terminal, C2 membrane targeting protein"
"BnaA06g30460D"	"Plant organelle RNA recognition domain"
"BnaA06g30510D"	"Ribosomal protein S27e, Ribosomal protein S27e, zinc-binding domain"
"BnaA06g30780D"	"Transferase, Chloramphenicol acetyltransferase-like domain"
"BnaA06g30960D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type, Zinc finger, RING-type, conserved site"
"BnaA06g31140D"	"Amino acid transporter, transmembrane"
"BnaA06g31180D"	"AIG2-like, Butirosin biosynthesis, BtrG-like"
"BnaA06g31200D"	"Homeodomain, ZF-HD class, ZF-HD homeobox protein, Cys/His-rich dimerisation domain, Homeodomain-like"
"BnaA06g31330D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaA06g31340D"	"Structure-specific recognition protein, High mobility group (HMG) box domain, Pleckstrin homology-like domain, Domain of unknown function DUF1747, SSRP1 domain"
"BnaA06g31380D"	"Pentatricopeptide repeat"
"BnaA06g31430D"	"ATPase, AAA-type, core, AAA-type ATPase, N-terminal domain"
"BnaA06g31770D"	"PDZ domain, Peptidase S1C"
"BnaA06g31800D"	"Protein of unknown function DUF1645"
"BnaA06g31810D"	"Cation-transporting P-type ATPase, Phospholipid-transporting  P-type ATPase, subfamily IV, P-type ATPase, A  domain, P-type ATPase, phosphorylation site, HAD-like domain, P-type ATPase, cytoplasmic domain N"
"BnaA06g31830D"	"Ribosomal protein L7/L12, Ribosomal protein L7/L12, C-terminal, Ribosomal protein L7/L12, C-terminal/adaptor protein ClpS-like, Ribosomal protein L7/L12, chloroplast"
"BnaA06g31950D"	"NB-ARC"
"BnaA06g32030D"	"Vesicle tethering protein Uso1/P115-like , head domain, Uso1/p115-like vesicle tethering protein, C-terminal, Armadillo-type fold, Vesicle tethering protein p115-like"
"BnaA06g32050D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaA06g32300D"	"Cytochrome c1, Cytochrome c domain, Cytochrome c1, transmembrane anchor, C-terminal"
"BnaA06g32400D"	"F-box domain, cyclin-like, Kelch repeat type 1, Kelch-type beta propeller"
"BnaA06g32510D"	"Ubiquitin supergroup"
"BnaA06g32520D"	"CID domain, RNA polymerase II-binding domain, ENTH/VHS"
"BnaA06g32540D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Concanavalin A-like lectin/glucanase, subgroup, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA06g32560D"	"FBD, Leucine-rich repeat 2"
"BnaA06g32650D"	NA
"BnaA06g32860D"	NA
"BnaA06g32900D"	"Lipase, GDSL, SGNH hydrolase-type esterase domain"
"BnaA06g33470D"	"Protein of unknown function DUF617, plant"
"BnaA06g33650D"	"D-aminoacyl-tRNA deacylase, D-Tyr-tRNATyr deacylase"
"BnaA06g34060D"	"Pectate lyase/Amb allergen, Pectate lyase, N-terminal, Pectin lyase fold/virulence factor, Pectin lyase fold, AmbAllergen"
"BnaA06g34160D"	"Glutathione S-transferase, N-terminal, Maleylacetoacetate isomerase, Glutathione S-transferase, C-terminal-like, Thioredoxin-like fold, Glutathione S-transferase/chloride channel, C-terminal"
"BnaA06g34180D"	"F-box domain, cyclin-like, Phloem protein 2-like"
"BnaA06g34210D"	"F-box domain, cyclin-like, Phloem protein 2-like"
"BnaA06g34480D"	"Pentatricopeptide repeat"
"BnaA06g34700D"	"Armadillo-like helical, Armadillo-type fold, HEAT, type 2, Vacuolar protein 14 C-terminal Fig4-binding domain, Vacuole morphology and inheritance protein 14"
"BnaA06g35180D"	"Transmembrane receptor, eukaryota"
"BnaA06g35240D"	"Forkhead-associated (FHA) domain, SMAD/FHA domain"
"BnaA06g35250D"	"Polyprenyl synthetase, Terpenoid synthase"
"BnaA06g35640D"	"ATPase, F1 complex, delta/epsilon subunit, ATPase, F1 complex, delta/epsilon subunit, N-terminal"
"BnaA06g36070D"	"Mini-chromosome maintenance, DNA-dependent ATPase, AAA+ ATPase domain, DNA replication licensing factor Mcm3, Nucleic acid-binding, OB-fold, Mini-chromosome maintenance, conserved site"
"BnaA06g37290D"	"Basic-leucine zipper domain"
"BnaA06g37450D"	"Protein of unknown function DUF2921"
"BnaA06g37560D"	"Zinc finger, C2H2-type matrin, Zinc finger, U1-C type"
"BnaA06g37650D"	"Photosystem I PsaN, reaction centre subunit N"
"BnaA06g37670D"	NA
"BnaA06g37770D"	"Pseudouridine synthase/archaeosine transglycosylase, Uncharacterised domain CHP00451, PUA-like domain, Translation-associated RNA-binding, predicted"
"BnaA06g37870D"	"NAD-dependent epimerase/dehydratase, NAD(P)-binding domain"
"BnaA06g38090D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA06g38270D"	"Leucine-rich repeat, Leucine-rich repeat-containing N-terminal, type 2"
"BnaA06g38280D"	"Protein of unknown function DUF506, plant"
"BnaA06g38500D"	"Wall-associated kinase, Wall-associated receptor kinase galacturonan-binding domain"
"BnaA06g38510D"	"Putative S-adenosyl-L-methionine-dependent methyltransferase"
